,Country,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family/Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
0,Finland,2019,1,7.769,1.34,1.587,0.986,0.596,0.39299999999999996,0.153
1,Denmark,2019,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252
2,Norway,2019,3,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.341,0.271
3,Iceland,2019,4,7.494,1.38,1.624,1.026,0.591,0.11800000000000001,0.354
4,Netherlands,2019,5,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.298,0.322
5,Switzerland,2019,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.34299999999999997,0.263
6,Sweden,2019,7,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.373,0.267
7,New Zealand,2019,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.38,0.33
8,Canada,2019,9,7.278,1.365,1.505,1.0390000000000001,0.584,0.308,0.285
9,Austria,2019,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244
10,Australia,2019,11,7.228,1.3719999999999999,1.548,1.036,0.557,0.29,0.332
11,Costa Rica,2019,12,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.09300000000000001,0.14400000000000002
12,Israel,2019,13,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.08199999999999999,0.261
13,Luxembourg,2019,14,7.09,1.609,1.479,1.012,0.526,0.316,0.19399999999999998
14,United Kingdom,2019,15,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.278,0.348
15,Ireland,2019,16,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.31,0.298
16,Germany,2019,17,6.985,1.3730000000000002,1.454,0.987,0.495,0.265,0.261
17,Belgium,2019,18,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.21,0.16
18,United States,2019,19,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.128,0.28
19,Czech Republic,2019,20,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.036000000000000004,0.046
20,United Arab Emirates,2019,21,6.825,1.5030000000000001,1.31,0.825,0.598,0.182,0.262
21,Malta,2019,22,6.726,1.3,1.52,0.9990000000000001,0.564,0.151,0.375
22,Mexico,2019,23,6.595,1.07,1.3230000000000002,0.861,0.433,0.073,0.07400000000000001
23,France,2019,24,6.5920000000000005,1.324,1.472,1.045,0.436,0.183,0.111
24,Taiwan,2019,25,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.09699999999999999,0.242
25,Chile,2019,26,6.444,1.159,1.369,0.92,0.35700000000000004,0.055999999999999994,0.187
26,Guatemala,2019,27,6.436,0.8,1.2690000000000001,0.746,0.535,0.078,0.175
27,Saudi Arabia,2019,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08
28,Qatar,2019,29,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.16699999999999998,0.22
29,Spain,2019,30,6.354,1.286,1.484,1.062,0.36200000000000004,0.079,0.153
30,Panama,2019,31,6.321000000000001,1.149,1.442,0.91,0.516,0.054000000000000006,0.109
31,Brazil,2019,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099
32,Uruguay,2019,33,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.15,0.127
33,Singapore,2019,34,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.45299999999999996,0.271
34,El Salvador,2019,35,6.252999999999999,0.794,1.242,0.789,0.43,0.07400000000000001,0.09300000000000001
35,Italy,2019,36,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.03,0.158
36,Bahrain,2019,37,6.199,1.3619999999999999,1.368,0.871,0.536,0.11,0.255
37,Slovakia,2019,38,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.013999999999999999,0.121
38,Trinidad & Tobago,2019,39,6.192,1.2309999999999999,1.4769999999999999,0.713,0.489,0.016,0.185
39,Poland,2019,40,6.182,1.206,1.4380000000000002,0.884,0.483,0.05,0.11699999999999999
40,Uzbekistan,2019,41,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.24,0.322
41,Lithuania,2019,42,6.149,1.238,1.515,0.818,0.29100000000000004,0.042,0.043
42,Colombia,2019,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099
43,Slovenia,2019,44,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.057,0.14400000000000002
44,Nicaragua,2019,45,6.105,0.6940000000000001,1.325,0.835,0.435,0.127,0.2
45,Kosovo,2019,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262
46,Argentina,2019,47,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.05,0.066
47,Romania,2019,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083
48,Cyprus,2019,49,6.046,1.263,1.2229999999999999,1.042,0.406,0.040999999999999995,0.19
49,Ecuador,2019,50,6.028,0.912,1.3119999999999998,0.868,0.498,0.087,0.126
50,Kuwait,2019,51,6.021,1.5,1.319,0.8079999999999999,0.493,0.09699999999999999,0.142
51,Thailand,2019,52,6.007999999999999,1.05,1.409,0.828,0.557,0.027999999999999997,0.359
52,Latvia,2019,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075
53,South Korea,2019,54,5.895,1.301,1.219,1.036,0.159,0.055999999999999994,0.175
54,Estonia,2019,55,5.893,1.237,1.528,0.8740000000000001,0.495,0.161,0.10300000000000001
55,Jamaica,2019,56,5.89,0.831,1.4780000000000002,0.831,0.49,0.027999999999999997,0.107
56,Mauritius,2019,57,5.888,1.12,1.402,0.7979999999999999,0.498,0.06,0.215
57,Japan,2019,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069
58,Honduras,2019,59,5.86,0.642,1.236,0.828,0.507,0.078,0.24600000000000002
59,Kazakhstan,2019,60,5.809,1.173,1.508,0.7290000000000001,0.41,0.096,0.146
60,Bolivia,2019,61,5.779,0.7759999999999999,1.209,0.706,0.511,0.064,0.13699999999999998
61,Hungary,2019,62,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.02,0.081
62,Paraguay,2019,63,5.742999999999999,0.855,1.475,0.777,0.514,0.08,0.184
63,Northern Cyprus,2019,64,5.718,1.263,1.252,1.042,0.41700000000000004,0.162,0.191
64,Peru,2019,65,5.697,0.96,1.274,0.8540000000000001,0.455,0.027000000000000003,0.083
65,Portugal,2019,66,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.025,0.047
66,Pakistan,2019,67,5.653,0.677,0.8859999999999999,0.535,0.313,0.098,0.22
67,Russia,2019,68,5.648,1.183,1.452,0.726,0.33399999999999996,0.031,0.08199999999999999
68,Philippines,2019,69,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.107,0.11699999999999999
69,Serbia,2019,70,5.603,1.004,1.383,0.8540000000000001,0.282,0.039,0.13699999999999998
70,Moldova,2019,71,5.529,0.685,1.328,0.7390000000000001,0.245,0.0,0.18100000000000002
